code,status,detail
D_1NBMC472,error,"La serie D_1NBMC472 no existe"
D_1NBMD472,error,"La serie D_1NBMD472 no existe"
D_1NBME472,error,"La serie D_1NBME472 no existe"
D_1NBMF472,error,"La serie D_1NBMF472 no existe"
D_1NBMG472,error,"La serie D_1NBMG472 no existe"
D_1NBMH472,error,"La serie D_1NBMH472 no existe"
D_1NBMI472,error,"La serie D_1NBMI472 no existe"
D_1NBMJ472,error,"La serie D_1NBMJ472 no existe"
D_1NBMK472,error,"La serie D_1NBMK472 no existe"
D_1NBML472,error,"La serie D_1NBML472 no existe"
D_1NBMM472,error,"La serie D_1NBMM472 no existe"
D_1NBMN472,error,"La serie D_1NBMN472 no existe"
D_1NBMO472,error,"La serie D_1NBMO472 no existe"
D_1NBMP472,error,"La serie D_1NBMP472 no existe"
D_1NBMQ472,error,"La serie D_1NBMQ472 no existe"
D_1NBMR472,error,"La serie D_1NBMR472 no existe"
D_1NBMS472,error,"La serie D_1NBMS472 no existe"
D_1NBMT472,error,"La serie D_1NBMT472 no existe"
D_1NBMU472,error,"La serie D_1NBMU472 no existe"
D_1NBMV472,error,"La serie D_1NBMV472 no existe"
D_1NBMW472,error,"La serie D_1NBMW472 no existe"
D_1NBMX472,error,"La serie D_1NBMX472 no existe"
D_1NBMY472,error,"La serie D_1NBMY472 no existe"
D_1NBMZ472,error,"La serie D_1NBMZ472 no existe"
D_1NBNA472,error,"La serie D_1NBNA472 no existe"
D_1NBNB472,error,"La serie D_1NBNB472 no existe"
D_1NBNC472,error,"La serie D_1NBNC472 no existe"
D_1NBND472,error,"La serie D_1NBND472 no existe"
D_1NBNE472,error,"La serie D_1NBNE472 no existe"
D_1NBNF472,error,"La serie D_1NBNF472 no existe"
D_1NBNG472,error,"La serie D_1NBNG472 no existe"
D_1NBNH472,error,"La serie D_1NBNH472 no existe"
D_1NBNI472,error,"La serie D_1NBNI472 no existe"
D_1NBNJ472,error,"La serie D_1NBNJ472 no existe"
D_1NBNK472,error,"La serie D_1NBNK472 no existe"
D_1NBNL472,error,"La serie D_1NBNL472 no existe"
D_1NBNM472,error,"La serie D_1NBNM472 no existe"
D_1NBNN472,error,"La serie D_1NBNN472 no existe"
D_1NBNO472,error,"La serie D_1NBNO472 no existe"
D_1NBNP472,error,"La serie D_1NBNP472 no existe"
D_1NBNQ472,error,"La serie D_1NBNQ472 no existe"
D_1NBNR472,error,"La serie D_1NBNR472 no existe"
D_1NBNS472,error,"La serie D_1NBNS472 no existe"
D_1NBNT472,error,"La serie D_1NBNT472 no existe"
D_1NBNU472,error,"La serie D_1NBNU472 no existe"
D_1NBNV472,error,"La serie D_1NBNV472 no existe"
D_1NBNW472,error,"La serie D_1NBNW472 no existe"
D_1NBNX472,error,"La serie D_1NBNX472 no existe"
D_1NBNY472,error,"La serie D_1NBNY472 no existe"
D_1NBNZ472,error,"La serie D_1NBNZ472 no existe"
D_1NBOA472,error,"La serie D_1NBOA472 no existe"
D_1NBOB472,error,"La serie D_1NBOB472 no existe"
D_1NBOC472,error,"La serie D_1NBOC472 no existe"
D_1NBOD472,error,"La serie D_1NBOD472 no existe"
D_1NBOE472,error,"La serie D_1NBOE472 no existe"
D_1NBOF472,error,"La serie D_1NBOF472 no existe"
D_1NBOG472,error,"La serie D_1NBOG472 no existe"
D_1NBOH472,error,"La serie D_1NBOH472 no existe"
D_1NBOI472,error,"La serie D_1NBOI472 no existe"
D_1NBOJ472,error,"La serie D_1NBOJ472 no existe"
D_1NBOK472,error,"La serie D_1NBOK472 no existe"
D_1NBOL472,error,"La serie D_1NBOL472 no existe"
D_1NBOM472,error,"La serie D_1NBOM472 no existe"
D_1NBON472,error,"La serie D_1NBON472 no existe"
